region,date,cases
NA Afghanistan,2020-01-22,0
NA Afghanistan,2020-01-23,0
NA Afghanistan,2020-01-24,0
NA Afghanistan,2020-01-25,0
NA Afghanistan,2020-01-26,0
NA Afghanistan,2020-01-27,0
NA Afghanistan,2020-01-28,0
NA Afghanistan,2020-01-29,0
NA Afghanistan,2020-01-30,0
NA Afghanistan,2020-01-31,0
NA Afghanistan,2020-02-01,0
NA Afghanistan,2020-02-02,0
NA Afghanistan,2020-02-03,0
NA Afghanistan,2020-02-04,0
NA Afghanistan,2020-02-05,0
NA Afghanistan,2020-02-06,0
NA Afghanistan,2020-02-07,0
NA Afghanistan,2020-02-08,0
NA Afghanistan,2020-02-09,0
NA Afghanistan,2020-02-10,0
NA Afghanistan,2020-02-11,0
NA Afghanistan,2020-02-12,0
NA Afghanistan,2020-02-13,0
NA Afghanistan,2020-02-14,0
NA Afghanistan,2020-02-15,0
NA Afghanistan,2020-02-16,0
NA Afghanistan,2020-02-17,0
NA Afghanistan,2020-02-18,0
NA Afghanistan,2020-02-19,0
NA Afghanistan,2020-02-20,0
NA Afghanistan,2020-02-21,0
NA Afghanistan,2020-02-22,0
NA Afghanistan,2020-02-23,0
NA Afghanistan,2020-02-24,1
NA Afghanistan,2020-02-25,1
NA Afghanistan,2020-02-26,1
NA Afghanistan,2020-02-27,1
NA Afghanistan,2020-02-28,1
NA Afghanistan,2020-02-29,1
NA Afghanistan,2020-03-01,1
NA Afghanistan,2020-03-02,1
NA Afghanistan,2020-03-03,1
NA Afghanistan,2020-03-04,1
NA Afghanistan,2020-03-05,1
NA Afghanistan,2020-03-06,1
NA Afghanistan,2020-03-07,1
NA Afghanistan,2020-03-08,4
NA Afghanistan,2020-03-09,4
NA Afghanistan,2020-03-10,5
NA Afghanistan,2020-03-11,7
NA Afghanistan,2020-03-12,7
NA Afghanistan,2020-03-13,7
NA Afghanistan,2020-03-14,11
NA Afghanistan,2020-03-15,16
NA Afghanistan,2020-03-16,21
NA Afghanistan,2020-03-17,22
NA Afghanistan,2020-03-18,22
NA Afghanistan,2020-03-19,22
NA Afghanistan,2020-03-20,24
NA Afghanistan,2020-03-21,24
NA Afghanistan,2020-03-22,40
NA Afghanistan,2020-03-23,40
NA Afghanistan,2020-03-24,74
NA Afghanistan,2020-03-25,84
NA Afghanistan,2020-03-26,94
NA Afghanistan,2020-03-27,110
NA Afghanistan,2020-03-28,110
NA Afghanistan,2020-03-29,120
NA Afghanistan,2020-03-30,170
NA Afghanistan,2020-03-31,174
NA Afghanistan,2020-04-01,237
NA Afghanistan,2020-04-02,273
NA Afghanistan,2020-04-03,281
NA Afghanistan,2020-04-04,299
NA Afghanistan,2020-04-05,349
NA Afghanistan,2020-04-06,367
NA Afghanistan,2020-04-07,423
NA Afghanistan,2020-04-08,444
NA Afghanistan,2020-04-09,484
NA Afghanistan,2020-04-10,521
NA Afghanistan,2020-04-11,555
NA Afghanistan,2020-04-12,607
NA Afghanistan,2020-04-13,665
NA Afghanistan,2020-04-14,714
NA Afghanistan,2020-04-15,784
NA Afghanistan,2020-04-16,840
NA Afghanistan,2020-04-17,906
NA Afghanistan,2020-04-18,933
NA Afghanistan,2020-04-19,996
NA Afghanistan,2020-04-20,1026
NA Afghanistan,2020-04-21,1092
NA Afghanistan,2020-04-22,1176
NA Afghanistan,2020-04-23,1279
NA Afghanistan,2020-04-24,1351
NA Afghanistan,2020-04-25,1463
NA Afghanistan,2020-04-26,1531
NA Afghanistan,2020-04-27,1703
NA Afghanistan,2020-04-28,1828
NA Afghanistan,2020-04-29,1939
NA Afghanistan,2020-04-30,2171
NA Afghanistan,2020-05-01,2335
NA Afghanistan,2020-05-02,2469
NA Afghanistan,2020-05-03,2704
NA Afghanistan,2020-05-04,2894
NA Afghanistan,2020-05-05,3224
NA Afghanistan,2020-05-06,3392
NA Afghanistan,2020-05-07,3563
NA Afghanistan,2020-05-08,3778
NA Afghanistan,2020-05-09,4033
NA Afghanistan,2020-05-10,4402
NA Afghanistan,2020-05-11,4687
NA Afghanistan,2020-05-12,4963
NA Afghanistan,2020-05-13,5226
NA Afghanistan,2020-05-14,5639
NA Afghanistan,2020-05-15,6053
NA Afghanistan,2020-05-16,6402
NA Afghanistan,2020-05-17,6664
NA Afghanistan,2020-05-18,7072
NA Afghanistan,2020-05-19,7653
NA Afghanistan,2020-05-20,8145
NA Afghanistan,2020-05-21,8676
NA Afghanistan,2020-05-22,9216
NA Afghanistan,2020-05-23,9998
NA Afghanistan,2020-05-24,10582
NA Afghanistan,2020-05-25,11173
NA Afghanistan,2020-05-26,11831
NA Afghanistan,2020-05-27,12456
NA Afghanistan,2020-05-28,13036
NA Afghanistan,2020-05-29,13659
NA Afghanistan,2020-05-30,14525
NA Afghanistan,2020-05-31,15205
NA Afghanistan,2020-06-01,15750
NA Afghanistan,2020-06-02,16509
NA Afghanistan,2020-06-03,17267
NA Afghanistan,2020-06-04,18054
NA Afghanistan,2020-06-05,18969
NA Afghanistan,2020-06-06,19551
NA Afghanistan,2020-06-07,20342
NA Afghanistan,2020-06-08,20917
NA Afghanistan,2020-06-09,21459
NA Afghanistan,2020-06-10,22142
NA Afghanistan,2020-06-11,22890
NA Afghanistan,2020-06-12,23546
NA Afghanistan,2020-06-13,24102
NA Afghanistan,2020-06-14,24766
NA Afghanistan,2020-06-15,25527
NA Afghanistan,2020-06-16,26310
NA Afghanistan,2020-06-17,26874
NA Afghanistan,2020-06-18,27532
NA Afghanistan,2020-06-19,27878
NA Afghanistan,2020-06-20,28424
NA Afghanistan,2020-06-21,28833
NA Afghanistan,2020-06-22,29157
NA Afghanistan,2020-06-23,29481
NA Afghanistan,2020-06-24,29640
NA Afghanistan,2020-06-25,30175
NA Afghanistan,2020-06-26,30451
NA Afghanistan,2020-06-27,30616
NA Afghanistan,2020-06-28,30967
NA Afghanistan,2020-06-29,31238
NA Afghanistan,2020-06-30,31517
NA Afghanistan,2020-07-01,31836
NA Afghanistan,2020-07-02,32022
NA Afghanistan,2020-07-03,32324
NA Afghanistan,2020-07-04,32672
NA Afghanistan,2020-07-05,32951
NA Afghanistan,2020-07-06,33190
NA Afghanistan,2020-07-07,33384
NA Afghanistan,2020-07-08,33594
NA Afghanistan,2020-07-09,33908
NA Afghanistan,2020-07-10,34194
NA Afghanistan,2020-07-11,34366
NA Afghanistan,2020-07-12,34451
NA Afghanistan,2020-07-13,34455
NA Afghanistan,2020-07-14,34740
NA Afghanistan,2020-07-15,34994
NA Afghanistan,2020-07-16,35070
NA Afghanistan,2020-07-17,35229
NA Afghanistan,2020-07-18,35301
NA Afghanistan,2020-07-19,35475
NA Afghanistan,2020-07-20,35526
NA Afghanistan,2020-07-21,35615
NA Afghanistan,2020-07-22,35727
NA Afghanistan,2020-07-23,35928
NA Afghanistan,2020-07-24,35981
NA Afghanistan,2020-07-25,36036
NA Afghanistan,2020-07-26,36157
NA Afghanistan,2020-07-27,36263
NA Afghanistan,2020-07-28,36368
NA Afghanistan,2020-07-29,36471
NA Afghanistan,2020-07-30,36542
NA Afghanistan,2020-07-31,36675
NA Afghanistan,2020-08-01,36710
NA Afghanistan,2020-08-02,36710
NA Afghanistan,2020-08-03,36747
NA Afghanistan,2020-08-04,36782
NA Afghanistan,2020-08-05,36829
NA Afghanistan,2020-08-06,36896
NA Afghanistan,2020-08-07,37015
NA Afghanistan,2020-08-08,37054
NA Afghanistan,2020-08-09,37054
NA Afghanistan,2020-08-10,37162
NA Afghanistan,2020-08-11,37269
NA Afghanistan,2020-08-12,37345
NA Afghanistan,2020-08-13,37424
NA Afghanistan,2020-08-14,37431
NA Afghanistan,2020-08-15,37551
NA Afghanistan,2020-08-16,37596
NA Afghanistan,2020-08-17,37599
NA Afghanistan,2020-08-18,37599
NA Afghanistan,2020-08-19,37599
NA Afghanistan,2020-08-20,37856
NA Afghanistan,2020-08-21,37894
NA Afghanistan,2020-08-22,37953
NA Afghanistan,2020-08-23,37999
NA Afghanistan,2020-08-24,38054
NA Afghanistan,2020-08-25,38070
NA Afghanistan,2020-08-26,38113
NA Afghanistan,2020-08-27,38129
NA Afghanistan,2020-08-28,38140
NA Afghanistan,2020-08-29,38143
NA Afghanistan,2020-08-30,38162
NA Albania,2020-01-22,0
NA Albania,2020-01-23,0
NA Albania,2020-01-24,0
NA Albania,2020-01-25,0
NA Albania,2020-01-26,0
NA Albania,2020-01-27,0
NA Albania,2020-01-28,0
NA Albania,2020-01-29,0
NA Albania,2020-01-30,0
NA Albania,2020-01-31,0
NA Albania,2020-02-01,0
NA Albania,2020-02-02,0
NA Albania,2020-02-03,0
NA Albania,2020-02-04,0
NA Albania,2020-02-05,0
NA Albania,2020-02-06,0
NA Albania,2020-02-07,0
NA Albania,2020-02-08,0
NA Albania,2020-02-09,0
NA Albania,2020-02-10,0
NA Albania,2020-02-11,0
NA Albania,2020-02-12,0
NA Albania,2020-02-13,0
NA Albania,2020-02-14,0
NA Albania,2020-02-15,0
NA Albania,2020-02-16,0
NA Albania,2020-02-17,0
NA Albania,2020-02-18,0
NA Albania,2020-02-19,0
NA Albania,2020-02-20,0
NA Albania,2020-02-21,0
NA Albania,2020-02-22,0
NA Albania,2020-02-23,0
NA Albania,2020-02-24,0
NA Albania,2020-02-25,0
NA Albania,2020-02-26,0
NA Albania,2020-02-27,0
NA Albania,2020-02-28,0
NA Albania,2020-02-29,0
NA Albania,2020-03-01,0
NA Albania,2020-03-02,0
NA Albania,2020-03-03,0
NA Albania,2020-03-04,0
NA Albania,2020-03-05,0
NA Albania,2020-03-06,0
NA Albania,2020-03-07,0
NA Albania,2020-03-08,0
NA Albania,2020-03-09,2
NA Albania,2020-03-10,10
NA Albania,2020-03-11,12
NA Albania,2020-03-12,23
NA Albania,2020-03-13,33
NA Albania,2020-03-14,38
NA Albania,2020-03-15,42
NA Albania,2020-03-16,51
NA Albania,2020-03-17,55
NA Albania,2020-03-18,59
NA Albania,2020-03-19,64
NA Albania,2020-03-20,70
NA Albania,2020-03-21,76
NA Albania,2020-03-22,89
NA Albania,2020-03-23,104
NA Albania,2020-03-24,123
NA Albania,2020-03-25,146
NA Albania,2020-03-26,174
NA Albania,2020-03-27,186
NA Albania,2020-03-28,197
NA Albania,2020-03-29,212
NA Albania,2020-03-30,223
NA Albania,2020-03-31,243
NA Albania,2020-04-01,259
NA Albania,2020-04-02,277
NA Albania,2020-04-03,304
NA Albania,2020-04-04,333
NA Albania,2020-04-05,361
NA Albania,2020-04-06,377
NA Albania,2020-04-07,383
NA Albania,2020-04-08,400
NA Albania,2020-04-09,409
NA Albania,2020-04-10,416
NA Albania,2020-04-11,433
NA Albania,2020-04-12,446
NA Albania,2020-04-13,467
NA Albania,2020-04-14,475
NA Albania,2020-04-15,494
NA Albania,2020-04-16,518
NA Albania,2020-04-17,539
NA Albania,2020-04-18,548
NA Albania,2020-04-19,562
NA Albania,2020-04-20,584
NA Albania,2020-04-21,609
NA Albania,2020-04-22,634
NA Albania,2020-04-23,663
NA Albania,2020-04-24,678
NA Albania,2020-04-25,712
NA Albania,2020-04-26,726
NA Albania,2020-04-27,736
NA Albania,2020-04-28,750
NA Albania,2020-04-29,766
NA Albania,2020-04-30,773
NA Albania,2020-05-01,782
NA Albania,2020-05-02,789
NA Albania,2020-05-03,795
NA Albania,2020-05-04,803
NA Albania,2020-05-05,820
NA Albania,2020-05-06,832
NA Albania,2020-05-07,842
NA Albania,2020-05-08,850
NA Albania,2020-05-09,856
NA Albania,2020-05-10,868
NA Albania,2020-05-11,872
NA Albania,2020-05-12,876
NA Albania,2020-05-13,880
NA Albania,2020-05-14,898
NA Albania,2020-05-15,916
NA Albania,2020-05-16,933
NA Albania,2020-05-17,946
NA Albania,2020-05-18,948
NA Albania,2020-05-19,949
NA Albania,2020-05-20,964
NA Albania,2020-05-21,969
NA Albania,2020-05-22,981
NA Albania,2020-05-23,989
NA Albania,2020-05-24,998
NA Albania,2020-05-25,1004
NA Albania,2020-05-26,1029
NA Albania,2020-05-27,1050
NA Albania,2020-05-28,1076
NA Albania,2020-05-29,1099
NA Albania,2020-05-30,1122
NA Albania,2020-05-31,1137
NA Albania,2020-06-01,1143
NA Albania,2020-06-02,1164
NA Albania,2020-06-03,1184
NA Albania,2020-06-04,1197
NA Albania,2020-06-05,1212
NA Albania,2020-06-06,1232
NA Albania,2020-06-07,1246
NA Albania,2020-06-08,1263
NA Albania,2020-06-09,1299
NA Albania,2020-06-10,1341
NA Albania,2020-06-11,1385
NA Albania,2020-06-12,1416
NA Albania,2020-06-13,1464
NA Albania,2020-06-14,1521
NA Albania,2020-06-15,1590
NA Albania,2020-06-16,1672
NA Albania,2020-06-17,1722
NA Albania,2020-06-18,1788
NA Albania,2020-06-19,1838
NA Albania,2020-06-20,1891
NA Albania,2020-06-21,1962
NA Albania,2020-06-22,1995
NA Albania,2020-06-23,2047
NA Albania,2020-06-24,2114
NA Albania,2020-06-25,2192
NA Albania,2020-06-26,2269
NA Albania,2020-06-27,2330
NA Albania,2020-06-28,2402
NA Albania,2020-06-29,2466
NA Albania,2020-06-30,2535
NA Albania,2020-07-01,2580
NA Albania,2020-07-02,2662
NA Albania,2020-07-03,2752
NA Albania,2020-07-04,2819
NA Albania,2020-07-05,2893
NA Albania,2020-07-06,2964
NA Albania,2020-07-07,3038
NA Albania,2020-07-08,3106
NA Albania,2020-07-09,3188
NA Albania,2020-07-10,3278
NA Albania,2020-07-11,3371
NA Albania,2020-07-12,3454
NA Albania,2020-07-13,3571
NA Albania,2020-07-14,3667
NA Albania,2020-07-15,3752
NA Albania,2020-07-16,3851
NA Albania,2020-07-17,3906
NA Albania,2020-07-18,4008
NA Albania,2020-07-19,4090
NA Albania,2020-07-20,4171
NA Albania,2020-07-21,4290
NA Albania,2020-07-22,4358
NA Albania,2020-07-23,4466
NA Albania,2020-07-24,4570
NA Albania,2020-07-25,4637
NA Albania,2020-07-26,4763
NA Albania,2020-07-27,4880
NA Albania,2020-07-28,4997
NA Albania,2020-07-29,5105
NA Albania,2020-07-30,5197
NA Albania,2020-07-31,5276
NA Albania,2020-08-01,5396
NA Albania,2020-08-02,5519
NA Albania,2020-08-03,5620
NA Albania,2020-08-04,5750
NA Albania,2020-08-05,5889
NA Albania,2020-08-06,6016
NA Albania,2020-08-07,6151
NA Albania,2020-08-08,6275
NA Albania,2020-08-09,6411
NA Albania,2020-08-10,6536
NA Albania,2020-08-11,6676
NA Albania,2020-08-12,6817
NA Albania,2020-08-13,6971
NA Albania,2020-08-14,7117
NA Albania,2020-08-15,7260
NA Albania,2020-08-16,7380
NA Albania,2020-08-17,7499
NA Albania,2020-08-18,7654
NA Albania,2020-08-19,7812
NA Albania,2020-08-20,7967
NA Albania,2020-08-21,8119
NA Albania,2020-08-22,8275
NA Albania,2020-08-23,8427
NA Albania,2020-08-24,8605
NA Albania,2020-08-25,8759
NA Albania,2020-08-26,8927
NA Albania,2020-08-27,9083
NA Albania,2020-08-28,9195
NA Albania,2020-08-29,9279
NA Albania,2020-08-30,9380
NA Algeria,2020-01-22,0
NA Algeria,2020-01-23,0
NA Algeria,2020-01-24,0
NA Algeria,2020-01-25,0
NA Algeria,2020-01-26,0
NA Algeria,2020-01-27,0
NA Algeria,2020-01-28,0
NA Algeria,2020-01-29,0
NA Algeria,2020-01-30,0
NA Algeria,2020-01-31,0
NA Algeria,2020-02-01,0
NA Algeria,2020-02-02,0
NA Algeria,2020-02-03,0
NA Algeria,2020-02-04,0
NA Algeria,2020-02-05,0
NA Algeria,2020-02-06,0
NA Algeria,2020-02-07,0
NA Algeria,2020-02-08,0
NA Algeria,2020-02-09,0
NA Algeria,2020-02-10,0
NA Algeria,2020-02-11,0
NA Algeria,2020-02-12,0
NA Algeria,2020-02-13,0
NA Algeria,2020-02-14,0
NA Algeria,2020-02-15,0
NA Algeria,2020-02-16,0
NA Algeria,2020-02-17,0
NA Algeria,2020-02-18,0
NA Algeria,2020-02-19,0
NA Algeria,2020-02-20,0
NA Algeria,2020-02-21,0
NA Algeria,2020-02-22,0
NA Algeria,2020-02-23,0
NA Algeria,2020-02-24,0
NA Algeria,2020-02-25,1
NA Algeria,2020-02-26,1
NA Algeria,2020-02-27,1
NA Algeria,2020-02-28,1
NA Algeria,2020-02-29,1
NA Algeria,2020-03-01,1
NA Algeria,2020-03-02,3
NA Algeria,2020-03-03,5
NA Algeria,2020-03-04,12
NA Algeria,2020-03-05,12
NA Algeria,2020-03-06,17
NA Algeria,2020-03-07,17
NA Algeria,2020-03-08,19
NA Algeria,2020-03-09,20
NA Algeria,2020-03-10,20
NA Algeria,2020-03-11,20
NA Algeria,2020-03-12,24
NA Algeria,2020-03-13,26
NA Algeria,2020-03-14,37
NA Algeria,2020-03-15,48
NA Algeria,2020-03-16,54
NA Algeria,2020-03-17,60
NA Algeria,2020-03-18,74
NA Algeria,2020-03-19,87
NA Algeria,2020-03-20,90
NA Algeria,2020-03-21,139
NA Algeria,2020-03-22,201
NA Algeria,2020-03-23,230
NA Algeria,2020-03-24,264
NA Algeria,2020-03-25,302
NA Algeria,2020-03-26,367
NA Algeria,2020-03-27,409
NA Algeria,2020-03-28,454
NA Algeria,2020-03-29,511
NA Algeria,2020-03-30,584
NA Algeria,2020-03-31,716
NA Algeria,2020-04-01,847
NA Algeria,2020-04-02,986
NA Algeria,2020-04-03,1171
NA Algeria,2020-04-04,1251
NA Algeria,2020-04-05,1320
NA Algeria,2020-04-06,1423
NA Algeria,2020-04-07,1468
NA Algeria,2020-04-08,1572
NA Algeria,2020-04-09,1666
NA Algeria,2020-04-10,1761
NA Algeria,2020-04-11,1825
NA Algeria,2020-04-12,1914
NA Algeria,2020-04-13,1983
NA Algeria,2020-04-14,2070
NA Algeria,2020-04-15,2160
NA Algeria,2020-04-16,2268
NA Algeria,2020-04-17,2418
NA Algeria,2020-04-18,2534
NA Algeria,2020-04-19,2629
NA Algeria,2020-04-20,2718
NA Algeria,2020-04-21,2811
NA Algeria,2020-04-22,2910
NA Algeria,2020-04-23,3007
NA Algeria,2020-04-24,3127
NA Algeria,2020-04-25,3256
NA Algeria,2020-04-26,3382
NA Algeria,2020-04-27,3517
NA Algeria,2020-04-28,3649
NA Algeria,2020-04-29,3848
NA Algeria,2020-04-30,4006
NA Algeria,2020-05-01,4154
NA Algeria,2020-05-02,4295
NA Algeria,2020-05-03,4474
NA Algeria,2020-05-04,4648
NA Algeria,2020-05-05,4838
NA Algeria,2020-05-06,4997
NA Algeria,2020-05-07,5182
NA Algeria,2020-05-08,5369
NA Algeria,2020-05-09,5558
NA Algeria,2020-05-10,5723
NA Algeria,2020-05-11,5891
NA Algeria,2020-05-12,6067
NA Algeria,2020-05-13,6253
NA Algeria,2020-05-14,6442
NA Algeria,2020-05-15,6629
NA Algeria,2020-05-16,6821
NA Algeria,2020-05-17,7019
NA Algeria,2020-05-18,7201
NA Algeria,2020-05-19,7377
NA Algeria,2020-05-20,7542
NA Algeria,2020-05-21,7728
NA Algeria,2020-05-22,7918
NA Algeria,2020-05-23,8113
NA Algeria,2020-05-24,8306
NA Algeria,2020-05-25,8503
NA Algeria,2020-05-26,8697
NA Algeria,2020-05-27,8857
NA Algeria,2020-05-28,8997
NA Algeria,2020-05-29,9134
NA Algeria,2020-05-30,9267
NA Algeria,2020-05-31,9394
NA Algeria,2020-06-01,9513
NA Algeria,2020-06-02,9626
NA Algeria,2020-06-03,9733
NA Algeria,2020-06-04,9831
NA Algeria,2020-06-05,9935
NA Algeria,2020-06-06,10050
NA Algeria,2020-06-07,10154
NA Algeria,2020-06-08,10265
NA Algeria,2020-06-09,10382
NA Algeria,2020-06-10,10484
NA Algeria,2020-06-11,10589
NA Algeria,2020-06-12,10698
NA Algeria,2020-06-13,10810
NA Algeria,2020-06-14,10919
NA Algeria,2020-06-15,11031
NA Algeria,2020-06-16,11147
NA Algeria,2020-06-17,11268
NA Algeria,2020-06-18,11385
NA Algeria,2020-06-19,11504
NA Algeria,2020-06-20,11631
NA Algeria,2020-06-21,11771
NA Algeria,2020-06-22,11920
NA Algeria,2020-06-23,12076
NA Algeria,2020-06-24,12248
NA Algeria,2020-06-25,12445
NA Algeria,2020-06-26,12685
NA Algeria,2020-06-27,12968
NA Algeria,2020-06-28,13273
NA Algeria,2020-06-29,13571
NA Algeria,2020-06-30,13907
NA Algeria,2020-07-01,14272
NA Algeria,2020-07-02,14657
NA Algeria,2020-07-03,15070
NA Algeria,2020-07-04,15500
NA Algeria,2020-07-05,15941
NA Algeria,2020-07-06,16404
NA Algeria,2020-07-07,16879
NA Algeria,2020-07-08,17348
NA Algeria,2020-07-09,17808
NA Algeria,2020-07-10,18242
NA Algeria,2020-07-11,18712
NA Algeria,2020-07-12,19195
NA Algeria,2020-07-13,19689
NA Algeria,2020-07-14,20216
NA Algeria,2020-07-15,20770
NA Algeria,2020-07-16,21355
NA Algeria,2020-07-17,21948
NA Algeria,2020-07-18,22549
NA Algeria,2020-07-19,23084
NA Algeria,2020-07-20,23691
NA Algeria,2020-07-21,24278
NA Algeria,2020-07-22,24872
NA Algeria,2020-07-23,25484
NA Algeria,2020-07-24,26159
NA Algeria,2020-07-25,26764
NA Algeria,2020-07-26,27357
NA Algeria,2020-07-27,27973
NA Algeria,2020-07-28,28615
NA Algeria,2020-07-29,29229
NA Algeria,2020-07-30,29831
NA Algeria,2020-07-31,30394
NA Algeria,2020-08-01,30950
NA Algeria,2020-08-02,31465
NA Algeria,2020-08-03,31972
NA Algeria,2020-08-04,32504
NA Algeria,2020-08-05,33055
NA Algeria,2020-08-06,33626
NA Algeria,2020-08-07,34155
NA Algeria,2020-08-08,34693
NA Algeria,2020-08-09,35160
NA Algeria,2020-08-10,35712
NA Algeria,2020-08-11,36204
NA Algeria,2020-08-12,36699
NA Algeria,2020-08-13,37187
NA Algeria,2020-08-14,37664
NA Algeria,2020-08-15,38133
NA Algeria,2020-08-16,38583
NA Algeria,2020-08-17,39025
NA Algeria,2020-08-18,39444
NA Algeria,2020-08-19,39847
NA Algeria,2020-08-20,40258
NA Algeria,2020-08-21,40667
NA Algeria,2020-08-22,41068
NA Algeria,2020-08-23,41460
NA Algeria,2020-08-24,41858
NA Algeria,2020-08-25,42228
NA Algeria,2020-08-26,42619
NA Algeria,2020-08-27,43016
NA Algeria,2020-08-28,43403
NA Algeria,2020-08-29,43781
NA Algeria,2020-08-30,44146
NA Andorra,2020-01-22,0
NA Andorra,2020-01-23,0
NA Andorra,2020-01-24,0
NA Andorra,2020-01-25,0
NA Andorra,2020-01-26,0
NA Andorra,2020-01-27,0
NA Andorra,2020-01-28,0
NA Andorra,2020-01-29,0
NA Andorra,2020-01-30,0
NA Andorra,2020-01-31,0
NA Andorra,2020-02-01,0
NA Andorra,2020-02-02,0
NA Andorra,2020-02-03,0
NA Andorra,2020-02-04,0
NA Andorra,2020-02-05,0
NA Andorra,2020-02-06,0
NA Andorra,2020-02-07,0
NA Andorra,2020-02-08,0
NA Andorra,2020-02-09,0
NA Andorra,2020-02-10,0
NA Andorra,2020-02-11,0
NA Andorra,2020-02-12,0
NA Andorra,2020-02-13,0
NA Andorra,2020-02-14,0
NA Andorra,2020-02-15,0
NA Andorra,2020-02-16,0
NA Andorra,2020-02-17,0
NA Andorra,2020-02-18,0
NA Andorra,2020-02-19,0
NA Andorra,2020-02-20,0
NA Andorra,2020-02-21,0
NA Andorra,2020-02-22,0
NA Andorra,2020-02-23,0
NA Andorra,2020-02-24,0
NA Andorra,2020-02-25,0
NA Andorra,2020-02-26,0
NA Andorra,2020-02-27,0
NA Andorra,2020-02-28,0
NA Andorra,2020-02-29,0
NA Andorra,2020-03-01,0
NA Andorra,2020-03-02,1
NA Andorra,2020-03-03,1
NA Andorra,2020-03-04,1
NA Andorra,2020-03-05,1
NA Andorra,2020-03-06,1
NA Andorra,2020-03-07,1
NA Andorra,2020-03-08,1
NA Andorra,2020-03-09,1
NA Andorra,2020-03-10,1
NA Andorra,2020-03-11,1
NA Andorra,2020-03-12,1
NA Andorra,2020-03-13,1
NA Andorra,2020-03-14,1
NA Andorra,2020-03-15,1
NA Andorra,2020-03-16,2
NA Andorra,2020-03-17,39
NA Andorra,2020-03-18,39
NA Andorra,2020-03-19,53
NA Andorra,2020-03-20,75
NA Andorra,2020-03-21,88
NA Andorra,2020-03-22,113
NA Andorra,2020-03-23,133
NA Andorra,2020-03-24,164
NA Andorra,2020-03-25,188
NA Andorra,2020-03-26,224
NA Andorra,2020-03-27,267
NA Andorra,2020-03-28,308
NA Andorra,2020-03-29,334
NA Andorra,2020-03-30,370
NA Andorra,2020-03-31,376
NA Andorra,2020-04-01,390
NA Andorra,2020-04-02,428
NA Andorra,2020-04-03,439
NA Andorra,2020-04-04,466
NA Andorra,2020-04-05,501
NA Andorra,2020-04-06,525
NA Andorra,2020-04-07,545
NA Andorra,2020-04-08,564
NA Andorra,2020-04-09,583
NA Andorra,2020-04-10,601
NA Andorra,2020-04-11,601
NA Andorra,2020-04-12,638
NA Andorra,2020-04-13,646
NA Andorra,2020-04-14,659
NA Andorra,2020-04-15,673
NA Andorra,2020-04-16,673
NA Andorra,2020-04-17,696
NA Andorra,2020-04-18,704
NA Andorra,2020-04-19,713
NA Andorra,2020-04-20,717
NA Andorra,2020-04-21,717
NA Andorra,2020-04-22,723
NA Andorra,2020-04-23,723
NA Andorra,2020-04-24,731
NA Andorra,2020-04-25,738
NA Andorra,2020-04-26,738
NA Andorra,2020-04-27,743
NA Andorra,2020-04-28,743
NA Andorra,2020-04-29,743
NA Andorra,2020-04-30,745
NA Andorra,2020-05-01,745
NA Andorra,2020-05-02,747
NA Andorra,2020-05-03,748
NA Andorra,2020-05-04,750
NA Andorra,2020-05-05,751
NA Andorra,2020-05-06,751
NA Andorra,2020-05-07,752
NA Andorra,2020-05-08,752
NA Andorra,2020-05-09,754
NA Andorra,2020-05-10,755
NA Andorra,2020-05-11,755
NA Andorra,2020-05-12,758
NA Andorra,2020-05-13,760
NA Andorra,2020-05-14,761
NA Andorra,2020-05-15,761
NA Andorra,2020-05-16,761
NA Andorra,2020-05-17,761
NA Andorra,2020-05-18,761
NA Andorra,2020-05-19,761
NA Andorra,2020-05-20,762
NA Andorra,2020-05-21,762
NA Andorra,2020-05-22,762
NA Andorra,2020-05-23,762
NA Andorra,2020-05-24,762
NA Andorra,2020-05-25,763
NA Andorra,2020-05-26,763
NA Andorra,2020-05-27,763
NA Andorra,2020-05-28,763
NA Andorra,2020-05-29,764
NA Andorra,2020-05-30,764
NA Andorra,2020-05-31,764
NA Andorra,2020-06-01,765
NA Andorra,2020-06-02,844
NA Andorra,2020-06-03,851
NA Andorra,2020-06-04,852
NA Andorra,2020-06-05,852
NA Andorra,2020-06-06,852
NA Andorra,2020-06-07,852
NA Andorra,2020-06-08,852
NA Andorra,2020-06-09,852
NA Andorra,2020-06-10,852
NA Andorra,2020-06-11,852
NA Andorra,2020-06-12,853
NA Andorra,2020-06-13,853
NA Andorra,2020-06-14,853
NA Andorra,2020-06-15,853
NA Andorra,2020-06-16,854
NA Andorra,2020-06-17,854
NA Andorra,2020-06-18,855
NA Andorra,2020-06-19,855
NA Andorra,2020-06-20,855
NA Andorra,2020-06-21,855
NA Andorra,2020-06-22,855
NA Andorra,2020-06-23,855
NA Andorra,2020-06-24,855
NA Andorra,2020-06-25,855
NA Andorra,2020-06-26,855
NA Andorra,2020-06-27,855
NA Andorra,2020-06-28,855
NA Andorra,2020-06-29,855
NA Andorra,2020-06-30,855
NA Andorra,2020-07-01,855
NA Andorra,2020-07-02,855
NA Andorra,2020-07-03,855
NA Andorra,2020-07-04,855
NA Andorra,2020-07-05,855
NA Andorra,2020-07-06,855
NA Andorra,2020-07-07,855
NA Andorra,2020-07-08,855
NA Andorra,2020-07-09,855
